perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202404,1,22041011,11215,FR,NA,FR,0,15755583,442344,442344
202404,1,22041011,11215,FR,NA,CH,0,2716,5,5
202404,1,22041011,11215,FR,ZZZ,NA,NA,516430,17151,17189
202404,1,22041011,11215,FR,LON,FR,10,4431882,225445,225445
202404,1,22041011,11215,FR,LON,FR,60,5140,12,2
202404,1,22041011,11215,FR,THP,FR,10,1398432,47717,47713
202404,1,22041011,11215,FR,DOV,FR,60,2898399,135499,135143
202404,1,22041011,11215,FR,LGP,FR,10,2748,0,126
202404,1,22041011,11215,FR,NHV,FR,60,68679,4500,4500
202404,1,22041011,11215,FR,PTM,FR,10,28122,4914,4914
202404,1,22041011,11215,FR,PTM,FR,60,1660042,70845,70845
202404,1,22041011,11215,FR,MID,FR,60,29582,1837,1837
202404,1,22041011,11215,FR,HUL,FR,10,508206,23970,23970
202404,1,22041011,11215,FR,IMM,FR,10,252039,14256,14256
202404,1,22041011,11215,FR,GSY,FR,10,30864,3124,1741
202404,1,22041011,11215,FR,DEU,FR,60,10884,574,423
202404,1,22041011,11215,FR,EUT,FR,60,2043475,88555,88226
202404,1,22041011,11215,FR,KIL,FR,60,359354,21168,21168
202404,1,22041011,11215,FR,LHR,FR,40,912,3,2
202404,1,22041011,11215,FR,EMA,FR,40,8188,65,26
202404,1,22041011,11215,FR,ZLC,FR,30,29879,1350,1350
202404,1,22041011,11215,NL,NA,FR,0,28948,101,101
202404,1,22041011,11215,NL,LON,FR,10,77378,5040,5040
202404,1,22041011,11215,NL,THP,FR,10,27635,1800,1800
202404,1,22041011,11215,NL,GRG,FR,10,22108,1440,1440
202404,1,22041011,11215,NL,MID,FR,10,22108,1440,1440
202404,1,22041011,11215,NL,IMM,FR,10,16581,1080,1080
202404,1,22041011,11215,DE,NA,FR,0,1208,9,9
202404,1,22041011,11215,IT,NA,FR,0,20902,50,50
202404,1,22041011,11215,IT,NA,IT,0,3753,1350,1350
202404,1,22041011,11215,IT,LON,FR,10,45184,1728,1728
202404,1,22041011,11215,IT,DOV,IT,60,4020,9,9
202404,1,22041011,11215,IE,NA,FR,0,4364,5,5
202404,1,22041011,11215,IE,ZZZ,NA,NA,6608,387,333
202404,1,22041011,11215,IE,HLD,FR,60,5645,59,59
202404,1,22041011,11215,IE,LIV,FR,10,12964,307,307
202404,1,22041011,11215,DK,NA,FR,0,150588,192,192
202404,1,22041011,11215,ES,NA,FR,0,923,2,2
202404,1,22041011,11215,BE,NA,FR,0,100274,415,415
202404,1,22041011,11215,BE,LON,FR,60,169383,9666,9666
202404,1,22041011,11215,BE,MID,FR,60,38205,2178,2178
202404,1,22041011,11215,BE,HUL,FR,60,10782,630,630
202404,1,22041011,11215,BE,IMM,FR,60,159330,12438,12438
202404,1,22041011,11215,SE,DOV,FR,60,8829,288,288
202404,1,22041011,11215,AT,NA,FR,0,2996,16,16
202404,1,22041011,11215,AT,HUL,FR,10,35052,1575,1575
202404,1,22041013,11215,FR,NA,FR,0,3480,126,126
202404,1,22041013,11215,FR,DOV,ES,60,2092,450,450
202404,1,22041013,11215,FR,EUT,ES,60,4106,837,837
202404,1,22041013,11215,DE,LON,ES,10,28889,11814,11860
202404,1,22041013,11215,DE,THP,ES,10,3733,1526,1531
202404,1,22041013,11215,DE,AVO,ES,10,19580,8017,8035
202404,1,22041013,11215,DE,LIV,ES,10,56839,23302,23336
202404,1,22041013,11215,IT,DOV,ES,60,1627,545,545
202404,1,22041013,11215,ES,NA,ES,0,42048,11662,11662
202404,1,22041013,11215,ES,ZZZ,NA,NA,6440,2432,2386
202404,1,22041013,11215,ES,LON,IT,60,25466,6484,6484
202404,1,22041013,11215,ES,LON,ES,10,537365,190032,190032
202404,1,22041013,11215,ES,LON,ES,60,29055,9900,9900
202404,1,22041013,11215,ES,THP,IT,10,24663,5400,5400
202404,1,22041013,11215,ES,THP,ES,10,166927,59837,59837
202404,1,22041013,11215,ES,MED,ES,10,7348,1860,1860
202404,1,22041013,11215,ES,DOV,IT,60,9856,1800,1800
202404,1,22041013,11215,ES,DOV,ES,10,24093,10549,10549
202404,1,22041013,11215,ES,DOV,ES,60,303256,101703,101703
202404,1,22041013,11215,ES,LGP,ES,10,50736,19386,19386
202404,1,22041013,11215,ES,PTM,ES,60,914,291,291
202404,1,22041013,11215,ES,AVO,ES,10,37950,14490,14490
202404,1,22041013,11215,ES,LIV,IT,60,31690,7751,7751
202404,1,22041013,11215,ES,LIV,ES,10,559435,209771,209771
202404,1,22041013,11215,ES,LIV,ES,60,81117,29282,29282
202404,1,22041013,11215,ES,GRK,ES,10,50173,15837,15837
202404,1,22041013,11215,ES,MID,ES,10,5452,1112,1112
202404,1,22041013,11215,ES,EUT,ES,60,139458,48133,48133
202404,1,22041013,11215,BE,LON,ES,60,92106,38714,38714
202404,1,22041013,11215,BE,MID,ES,60,65092,27238,27238
202404,1,22041013,11215,BE,HUL,ES,60,16422,6733,6733
202404,1,22041013,11215,BE,IMM,ES,60,48298,19893,19893
202404,1,22041015,11215,FR,DOV,FR,60,32139,10710,10710
202404,1,22041015,11215,FR,DOV,IT,60,39979,11224,11224
202404,1,22041015,11215,FR,MID,IT,60,13995,3240,3240
202404,1,22041015,11215,FR,GSY,IT,10,2348,1910,427
202404,1,22041015,11215,FR,EUT,FR,60,13878,1800,1800
202404,1,22041015,11215,FR,EUT,IT,60,26241,5339,5339
202404,1,22041015,11215,DE,LON,IT,10,649231,181362,181362
202404,1,22041015,11215,DE,GRG,IT,10,58255,15406,15406
202404,1,22041015,11215,DE,HUL,IT,10,67316,18099,18099
202404,1,22041015,11215,DE,IMM,IT,10,190422,55482,55482
202404,1,22041015,11215,IT,NA,IT,0,1540194,350835,350807
202404,1,22041015,11215,IT,ZZZ,NA,NA,55493,19739,8751
202404,1,22041015,11215,IT,LON,IT,10,4329969,1171316,1171316
202404,1,22041015,11215,IT,LON,IT,60,799822,179826,179826
202404,1,22041015,11215,IT,DOV,IT,10,103195,21198,21198
202404,1,22041015,11215,IT,DOV,IT,60,865052,201323,201323
202404,1,22041015,11215,IT,LGP,IT,10,8467171,2196274,2196274
202404,1,22041015,11215,IT,PTM,IT,60,120894,29812,29812
202404,1,22041015,11215,IT,GRG,IT,10,199109,53400,53400
202404,1,22041015,11215,IT,BLY,IT,10,263913,76013,76013
202404,1,22041015,11215,IT,MID,IT,10,223678,62333,62333
202404,1,22041015,11215,IT,HUL,IT,10,1019504,264247,264247
202404,1,22041015,11215,IT,HUL,IT,60,93702,22971,22971
202404,1,22041015,11215,IT,IMM,IT,10,1261240,342243,342243
202404,1,22041015,11215,IT,IMM,IT,60,64168,14220,14220
202404,1,22041015,11215,IT,DEU,IT,60,42195,11340,11340
202404,1,22041015,11215,IT,EUT,IT,60,75918,20451,19663
202404,1,22041015,11215,IT,KIL,IT,60,262449,49788,49788
202404,1,22041015,11215,IT,PUF,IT,10,4203,720,720
202404,1,22041015,11215,IT,PUF,IT,60,19815,3157,3157
202404,1,22041015,11215,IT,LHR,IT,40,1720,342,342
202404,1,22041015,11215,IT,LSA,IT,40,1104,243,180
202404,1,22041015,11215,IT,EMA,IT,40,6309,648,648
202404,1,22041015,11215,IT,CVT,IT,40,3020,720,720
202404,1,22041015,11215,IE,ZZZ,NA,NA,11839,2201,2165
202404,1,22041015,11215,ES,NA,ES,0,1996,720,720
202404,1,22041015,11215,ES,LON,IT,10,14672,3600,3600
202404,1,22041015,11215,ES,THP,IT,10,68313,14040,14040
202404,1,22041015,11215,ES,DOV,IT,60,3637,990,990
202404,1,22041015,11215,ES,LIV,IT,10,27387,6300,6300
202404,1,22041015,11215,BE,LON,IT,60,5151053,1402799,1402799
202404,1,22041015,11215,BE,DOV,IT,60,1602,225,12
202404,1,22041015,11215,BE,MID,IT,60,866703,238304,238304
202404,1,22041015,11215,BE,HUL,IT,60,112240,34397,34397
202404,1,22041015,11215,BE,IMM,IT,60,1240775,330025,330025
202404,1,22041015,11215,BE,PUF,IT,60,2237,369,369
202404,1,22041015,11215,SE,DOV,IT,60,1826,360,360
202404,1,22041091,11215,FR,ZZZ,NA,NA,36,9,12
202404,1,22041091,11215,DE,LON,IT,10,23311,7698,7698
202404,1,22041091,11215,DE,GRG,IT,10,3885,1283,1283
202404,1,22041091,11215,DE,HUL,IT,10,10415,3421,3421
202404,1,22041091,11215,DE,IMM,IT,10,9232,2993,2993
202404,1,22041091,11215,IT,LON,IT,10,32046,9254,9254
202404,1,22041091,11215,IT,LGP,IT,10,126715,30178,30178
202404,1,22041091,11215,IT,HUL,IT,10,11752,3623,3623
202404,1,22041091,11215,IT,CVT,IT,40,820800,208800,202058
202404,1,22041091,11215,ES,LON,IT,10,1573,270,270
202404,1,22041091,11215,BE,LON,IT,60,229951,78483,78483
202404,1,22041091,11215,BE,MID,IT,60,37124,13231,13231
202404,1,22041091,11215,BE,HUL,IT,60,14976,5563,5563
202404,1,22041091,11215,BE,IMM,IT,60,75979,27347,27347
202404,1,22041093,11215,FR,NA,FR,0,123608,17958,17958
202404,1,22041093,11215,FR,NA,IT,0,1446,225,225
202404,1,22041093,11215,FR,ZZZ,NA,NA,2599,257,262
202404,1,22041093,11215,FR,LON,FR,10,1053245,213264,213264
202404,1,22041093,11215,FR,LON,FR,60,34682,8163,8163
202404,1,22041093,11215,FR,THP,FR,10,268888,50548,50562
202404,1,22041093,11215,FR,DOV,FR,60,612470,97001,97001
202404,1,22041093,11215,FR,PTM,FR,60,122925,23435,23435
202404,1,22041093,11215,FR,MID,FR,60,8313,1197,1197
202404,1,22041093,11215,FR,IMM,FR,10,121509,27594,27594
202404,1,22041093,11215,FR,EUT,FR,60,40596,4415,4415
202404,1,22041093,11215,IT,NA,FR,0,944,45,45
202404,1,22041093,11215,IT,NA,IT,0,192429,30398,30398
202404,1,22041093,11215,IT,ZZZ,NA,NA,957,177,180
202404,1,22041093,11215,IT,LON,IT,10,18042,3744,3744
202404,1,22041093,11215,IT,LON,IT,60,13265,2484,2484
202404,1,22041093,11215,IT,DOV,FR,60,3832,85,85
202404,1,22041093,11215,IT,DOV,IT,60,13032,2187,2187
202404,1,22041093,11215,IT,LGP,IT,10,34261,8100,8100
202404,1,22041093,11215,IT,MID,IT,10,7781,1800,1800
202404,1,22041093,11215,IT,PUF,IT,60,7250,2070,2070
202404,1,22041093,11215,IE,ZZZ,NA,NA,1480,280,275
202404,1,22041093,11215,ES,NA,ES,0,1392,414,414
202404,1,22041093,11215,ES,ZZZ,NA,NA,6877,1980,1980
202404,1,22041093,11215,ES,LON,ES,10,10647,2475,2475
202404,1,22041093,11215,ES,LON,ES,60,53191,19044,19044
202404,1,22041093,11215,ES,LGP,ES,10,6409,875,1161
202404,1,22041093,11215,ES,EUT,ES,60,1945,152,152
202404,1,22041093,11215,BE,LON,FR,10,29555,6840,6840
202404,1,22041093,11215,BE,LON,FR,60,54745,11196,11196
202404,1,22041093,11215,BE,MID,FR,60,8748,1584,1584
202404,1,22041093,11215,BE,HUL,FR,60,2811,414,414
202404,1,22041093,11215,BE,IMM,FR,10,11818,2736,2736
202404,1,22041093,11215,BE,IMM,FR,60,23370,4014,4014
202404,1,22041093,11215,AT,ZZZ,NA,NA,448,95,47
202404,1,22041094,11215,FR,ZZZ,NA,NA,58,14,18
202404,1,22041094,11215,IT,DEU,IT,60,4316,1440,1440
202404,1,22041094,11215,PT,ZZZ,NA,NA,659,110,112
202404,1,22041094,11215,PT,LIV,PT,60,6174,1800,1800
202404,1,22041094,11215,PT,EUT,PT,60,1270,239,239
202404,1,22041096,11215,FR,NA,FR,0,7002,729,729
202404,1,22041096,11215,FR,DOV,FR,60,15080,1710,1710
202404,1,22041096,11215,FR,EUT,FR,60,3213,338,338
202404,1,22041096,11215,NL,LON,IT,10,11563,4320,4320
202404,1,22041096,11215,NL,THP,IT,10,1927,720,720
202404,1,22041096,11215,NL,GRG,IT,10,4818,1800,1800
202404,1,22041096,11215,NL,HUL,IT,10,2891,1080,1080
202404,1,22041096,11215,DE,LON,IT,10,17159,7560,7560
202404,1,22041096,11215,DE,GRG,IT,10,3259,1440,1440
202404,1,22041096,11215,DE,HUL,IT,10,11468,5040,5040
202404,1,22041096,11215,DE,IMM,IT,10,3201,1440,1440
202404,1,22041096,11215,IT,LON,IT,10,20857,8460,8460
202404,1,22041096,11215,IT,DOV,IT,60,15765,1759,1759
202404,1,22041096,11215,GR,DOV,GR,60,3787,360,360
202404,1,22041096,11215,PT,NA,PT,0,2886,450,450
202404,1,22041096,11215,ES,NA,ES,0,10776,775,775
202404,1,22041096,11215,ES,ZZZ,NA,NA,3507,441,450
202404,1,22041096,11215,BE,LON,IT,60,59971,17019,17019
202404,1,22041096,11215,BE,MID,IT,60,2826,1080,1080
202404,1,22041096,11215,BE,IMM,IT,60,2792,1067,1067
202404,1,22041096,11215,BE,EUT,IT,60,1448,81,81
202404,1,22041096,11215,AT,NA,AT,0,3760,383,383
202404,1,22041096,11215,SI,NA,SI,0,937,135,135
202404,1,22041098,11215,FR,NA,FR,0,68879,19216,19216
202404,1,22041098,11215,FR,NA,AR,0,13981,3168,3168
202404,1,22041098,11215,FR,NA,NZ,0,20846,2007,2007
202404,1,22041098,11215,FR,ZZZ,NA,NA,1109,124,176
202404,1,22041098,11215,FR,LON,FR,10,100502,22023,22023
202404,1,22041098,11215,FR,LON,FR,60,1100,230,230
202404,1,22041098,11215,FR,THP,FR,10,17851,12420,12420
202404,1,22041098,11215,FR,DOV,FR,60,57526,15158,15158
202404,1,22041098,11215,FR,LGP,FR,10,1543,0,59
202404,1,22041098,11215,FR,PTM,FR,60,43794,10430,10430
202404,1,22041098,11215,FR,MID,FR,60,1045,315,315
202404,1,22041098,11215,FR,GSY,FR,10,9942,2042,1350
202404,1,22041098,11215,FR,DEU,FR,60,4517,1008,1008
202404,1,22041098,11215,FR,EUT,FR,60,58478,9500,9500
202404,1,22041098,11215,FR,EMA,FR,40,121,1260,0
202404,1,22041098,11215,NL,LON,IT,10,9315,2880,2880
202404,1,22041098,11215,NL,THP,IT,10,2329,720,720
202404,1,22041098,11215,NL,GRG,IT,10,5822,1800,1800
202404,1,22041098,11215,NL,HUL,IT,10,3493,1080,1080
202404,1,22041098,11215,DE,NA,DE,0,3800,1554,1554
202404,1,22041098,11215,DE,THP,DE,10,2256,756,756
202404,1,22041098,11215,IT,NA,IT,0,144789,62744,62744
202404,1,22041098,11215,IT,LON,IT,10,156587,68932,68932
202404,1,22041098,11215,IT,LON,IT,60,49354,10920,10920
202404,1,22041098,11215,IT,DOV,IT,60,15005,4816,4816
202404,1,22041098,11215,IT,LGP,IT,10,382287,117065,117065
202404,1,22041098,11215,IT,MID,IT,10,5382,2602,2602
202404,1,22041098,11215,IT,HUL,IT,10,4402,2250,2250
202404,1,22041098,11215,IT,IMM,IT,10,33706,14491,14491
202404,1,22041098,11215,IT,DEU,IT,60,12117,5850,5850
202404,1,22041098,11215,IT,EUT,IT,60,10014,1773,1773
202404,1,22041098,11215,IT,PUF,IT,10,2951,720,720
202404,1,22041098,11215,IT,PUF,IT,60,3340,432,432
202404,1,22041098,11215,IE,ZZZ,NA,NA,2384,513,513
202404,1,22041098,11215,PT,NA,PT,0,1876,900,900
202404,1,22041098,11215,ES,NA,ES,0,26622,4228,4228
202404,1,22041098,11215,ES,ZZZ,NA,NA,1067,441,450
202404,1,22041098,11215,ES,LON,IT,10,68642,11995,11995
202404,1,22041098,11215,ES,LON,IT,60,72201,12890,12890
202404,1,22041098,11215,ES,LON,ES,10,83336,20523,20523
202404,1,22041098,11215,ES,THP,IT,10,32064,6509,6509
202404,1,22041098,11215,ES,THP,ES,10,33743,14400,14400
202404,1,22041098,11215,ES,DOV,IT,60,12620,1478,1478
202404,1,22041098,11215,ES,DOV,ES,10,33277,9360,9360
202404,1,22041098,11215,ES,DOV,ES,60,109007,20909,20909
202404,1,22041098,11215,ES,LGP,ES,10,1675,366,369
202404,1,22041098,11215,ES,AVO,ES,10,3050,1350,1350
202404,1,22041098,11215,ES,LIV,IT,10,32027,8100,8100
202404,1,22041098,11215,ES,LIV,IT,60,62515,11009,11009
202404,1,22041098,11215,ES,LIV,ES,10,134929,24300,24300
202404,1,22041098,11215,ES,LIV,ES,60,79563,18612,18612
202404,1,22041098,11215,ES,GRK,ES,10,4960,2250,2250
202404,1,22041098,11215,ES,EUT,ES,60,55349,9900,9900
202404,1,22041098,11215,ES,LHR,ES,40,2415,5850,153
202404,1,22041098,11215,BE,LON,IT,60,112048,49950,49950
202404,1,22041098,11215,BE,MID,IT,60,12276,5400,5400
202404,1,22041098,11215,BE,IMM,IT,60,28724,10800,10800
202404,1,22041098,11215,BE,PUF,AU,60,5716,792,792
202404,1,22041098,11215,LT,DOV,LT,60,2308,720,720
202404,1,22041098,11215,RO,DOV,RO,60,1300,360,360
202404,1,22042106,11217,FR,LGP,FR,10,1972,13,38
202404,1,22042106,11217,FR,GSY,FR,10,2623,887,540
202404,1,22042106,11217,FR,EUT,FR,60,12449,4097,4097
202404,1,22042106,11217,DE,LON,IT,10,92159,34209,34209
202404,1,22042106,11217,DE,THP,DE,10,2091,216,216
202404,1,22042106,11217,DE,PTM,DE,60,1370,108,108
202404,1,22042106,11217,DE,GRG,IT,10,19800,7269,7269
202404,1,22042106,11217,DE,HUL,IT,10,23805,8980,8980
202404,1,22042106,11217,DE,IMM,IT,10,20112,7269,7269
202404,1,22042106,11217,IT,NA,FR,0,17643,4873,4873
202404,1,22042106,11217,IT,NA,IT,0,45226,9630,9630
202404,1,22042106,11217,IT,ZZZ,NA,NA,23750,7616,7764
202404,1,22042106,11217,IT,LON,IT,10,36181,10756,10756
202404,1,22042106,11217,IT,LON,IT,60,3293,428,428
202404,1,22042106,11217,IT,DOV,IT,60,12528,2921,2921
202404,1,22042106,11217,IT,LGP,IT,10,78554,24570,24570
202404,1,22042106,11217,IT,PTM,IT,60,1284,408,408
202404,1,22042106,11217,IT,GRG,IT,10,14351,4703,4703
202404,1,22042106,11217,IT,MID,IT,10,5603,1037,1037
202404,1,22042106,11217,IT,HUL,IT,10,19115,5895,5895
202404,1,22042106,11217,IT,IMM,IT,10,29136,4507,4507
202404,1,22042106,11217,IT,DEU,IT,60,4005,1297,1297
202404,1,22042106,11217,IT,EUT,IT,60,11855,3793,3793
202404,1,22042106,11217,IT,PUF,IT,10,5246,1710,1710
202404,1,22042106,11217,IE,ZZZ,NA,NA,2677,649,660
202404,1,22042106,11217,ES,LON,ES,10,14072,7380,7380
202404,1,22042106,11217,ES,PTM,ES,60,1617,270,270
202404,1,22042106,11217,BE,LON,IT,60,212299,68298,68298
202404,1,22042106,11217,BE,MID,IT,60,39779,12835,12835
202404,1,22042106,11217,BE,HUL,IT,60,9282,2995,2995
202404,1,22042106,11217,BE,IMM,IT,60,68938,22244,22244
202404,1,22042107,11217,IT,NA,IT,0,20112,3159,3159
202404,1,22042107,11217,IT,DOV,IT,60,23044,5135,5135
202404,1,22042107,11217,IT,EUT,IT,60,2788,450,450
202404,1,22042107,11217,IT,PUF,IT,10,976,756,756
202404,1,22042107,11217,IE,ZZZ,NA,NA,545,140,140
202404,1,22042107,11217,BE,LON,IT,60,4224,1728,1728
202404,1,22042107,11217,BE,MID,IT,60,2816,1152,1152
202404,1,22042107,11217,BE,IMM,IT,60,1408,576,576
202404,1,22042108,11217,FR,DOV,AT,60,3724,653,653
202404,1,22042108,11217,IT,PUF,IT,10,2352,900,900
202404,1,22042108,11217,ES,LON,ES,10,1718,563,563
202404,1,22042109,11217,FR,DOV,ES,60,3174,513,513
202404,1,22042109,11217,FR,EUT,FR,60,1041,360,360
202404,1,22042109,11217,DE,ZZZ,NA,NA,3467,1728,1728
202404,1,22042109,11217,IT,NA,IT,0,9517,1891,1891
202404,1,22042109,11217,IT,DOV,IT,60,2245,311,311
202404,1,22042109,11217,IT,EUT,IT,60,2057,252,252
202404,1,22042109,11217,IT,PUF,IT,60,2199,855,855
202404,1,22042109,11217,IE,ZZZ,NA,NA,171833,49984,50952
202404,1,22042109,11217,PT,LON,PT,10,1604,720,720
202404,1,22042109,11217,PT,PTM,PT,60,933,54,54
202404,1,22042109,11217,ES,GRK,ES,10,2591,900,900
202404,1,22042109,11217,BE,LON,HU,60,5484,2304,2304
202404,1,22042109,11217,BE,MID,HU,60,2742,1152,1152
202404,1,22042109,11217,BE,IMM,DE,60,2799,1152,1152
202404,1,22042109,11217,AT,EUT,AT,60,4129,486,486
202404,1,22042111,11217,FR,NA,FR,0,41127,5215,5215
202404,1,22042111,11217,FR,ZZZ,NA,NA,214,23,23
202404,1,22042111,11217,FR,LON,FR,10,157186,31361,31361
202404,1,22042111,11217,FR,DOV,FR,60,167735,20928,20928
202404,1,22042111,11217,FR,LGP,FR,10,1028,0,63
202404,1,22042111,11217,FR,PTM,FR,60,51919,8505,8505
202404,1,22042111,11217,FR,MID,FR,60,984,113,113
202404,1,22042111,11217,FR,DEU,FR,60,1072,135,135
202404,1,22042111,11217,FR,EUT,FR,60,11481,1035,1035
202404,1,22042111,11217,FR,EMA,FR,40,3755,200,113
202404,1,22042111,11217,DE,ZZZ,NA,NA,12780,3949,4050
202404,1,22042111,11217,DE,EUT,FR,60,1034,21,21
202404,1,22042111,11217,IT,NA,IT,0,1401,185,185
202404,1,22042111,11217,IE,ZZZ,NA,NA,380,72,72
202404,1,22042111,11217,BE,IMM,FR,60,7668,1620,1620
202404,1,22042111,11217,AT,NA,FR,0,1656,9,9
202404,1,22042111,11217,CZ,LGP,FR,10,1560,0,17
202404,1,22042111,11217,RO,DEU,RO,60,1381,450,450
202404,1,22042112,11217,FR,NA,FR,0,344701,21067,21067
202404,1,22042112,11217,FR,ZZZ,NA,NA,10477,760,765
202404,1,22042112,11217,FR,LON,FR,10,60509,15954,15954
202404,1,22042112,11217,FR,LON,FR,60,29110,9763,9763
202404,1,22042112,11217,FR,THP,FR,10,1682,540,540
202404,1,22042112,11217,FR,DOV,FR,60,167855,27681,27681
202404,1,22042112,11217,FR,PTM,FR,60,265980,25232,25232
202404,1,22042112,11217,FR,HUL,FR,60,26485,9072,9072
202404,1,22042112,11217,FR,IMM,FR,10,15949,5400,5400
202404,1,22042112,11217,FR,IMM,FR,60,4329,1512,1512
202404,1,22042112,11217,FR,DEU,FR,60,14125,4536,4536
202404,1,22042112,11217,FR,EUT,FR,60,11598,1549,1549
202404,1,22042112,11217,IE,ZZZ,NA,NA,568,68,40
202404,1,22042112,11217,BE,NA,FR,0,6832,19,19
202404,1,22042112,11217,BE,DOV,FR,60,1174,270,270
202404,1,22042112,11217,BE,IMM,FR,60,27882,12150,12150
202404,1,22042113,11217,FR,NA,FR,0,3806088,124968,124969
202404,1,22042113,11217,FR,ZZZ,NA,NA,55779,4404,4323
202404,1,22042113,11217,FR,LON,FR,10,1532555,174634,174634
202404,1,22042113,11217,FR,LON,FR,60,2406,189,189
202404,1,22042113,11217,FR,THP,FR,10,447840,66284,66202
202404,1,22042113,11217,FR,DOV,FR,60,1388237,124545,124499
202404,1,22042113,11217,FR,PTM,FR,60,1785299,95634,95634
202404,1,22042113,11217,FR,MID,FR,60,14254,1818,1818
202404,1,22042113,11217,FR,HUL,FR,10,356987,45075,45075
202404,1,22042113,11217,FR,IMM,FR,10,133084,15525,15525
202404,1,22042113,11217,FR,DEU,FR,60,42080,1551,1551
202404,1,22042113,11217,FR,EUT,FR,60,613411,35059,35059
202404,1,22042113,11217,FR,LSA,FR,40,5989,27,10
202404,1,22042113,11217,FR,EMA,FR,40,2332,28,16
202404,1,22042113,11217,NL,NA,FR,0,107738,18,18
202404,1,22042113,11217,DE,NA,FR,0,10329,8,8
202404,1,22042113,11217,DE,LON,FR,10,28317,3645,3645
202404,1,22042113,11217,IT,DOV,IT,60,1742,42,42
202404,1,22042113,11217,IE,ZZZ,NA,NA,2004,180,158
202404,1,22042113,11217,IE,HLD,FR,60,5725,23,23
202404,1,22042113,11217,DK,NA,FR,0,15376,23,23
202404,1,22042113,11217,ES,THP,ES,10,4515,450,450
202404,1,22042113,11217,BE,NA,FR,0,169534,402,402
202404,1,22042113,11217,BE,LON,FR,10,24055,2363,2363
202404,1,22042113,11217,BE,LON,FR,60,206594,28125,28125
202404,1,22042113,11217,BE,IMM,FR,10,14433,1419,1419
202404,1,22042113,11217,BE,IMM,FR,60,70691,5868,5868
202404,1,22042113,11217,AT,NA,FR,0,5182,127,127
202404,1,22042117,11217,FR,NA,FR,0,546119,51709,51709
202404,1,22042117,11217,FR,ZZZ,NA,NA,20056,1517,1530
202404,1,22042117,11217,FR,LON,FR,10,387122,93582,93582
202404,1,22042117,11217,FR,LON,FR,60,6321,1400,1400
202404,1,22042117,11217,FR,THP,FR,10,96842,27605,27605
202404,1,22042117,11217,FR,DOV,FR,60,598169,77294,77294
202404,1,22042117,11217,FR,PTM,FR,60,458198,64880,64880
202404,1,22042117,11217,FR,MID,FR,60,16013,2475,2475
202404,1,22042117,11217,FR,HUL,FR,10,113683,12465,12465
202404,1,22042117,11217,FR,IMM,FR,10,156179,17154,17154
202404,1,22042117,11217,FR,DEU,FR,60,17980,2565,2565
202404,1,22042117,11217,FR,EUT,FR,60,107552,10889,10889
202404,1,22042117,11217,FR,EMA,FR,40,3069,205,68
202404,1,22042117,11217,DE,NA,DE,0,1294,360,360
202404,1,22042117,11217,DE,ZZZ,NA,NA,2447,756,756
202404,1,22042117,11217,IE,ZZZ,NA,NA,2311,221,221
202404,1,22042117,11217,BE,NA,FR,0,3506,81,81
202404,1,22042117,11217,BE,LON,FR,60,32797,8979,8979
202404,1,22042117,11217,BE,MID,FR,60,13809,3781,3781
202404,1,22042117,11217,BE,HUL,FR,60,6904,1891,1891
202404,1,22042117,11217,BE,IMM,FR,60,40603,9203,9203
202404,1,22042117,11217,AT,NA,FR,0,2312,18,18
202404,1,22042118,11217,FR,NA,DE,0,12826,60,60
202404,1,22042118,11217,FR,LON,DE,10,8993,2016,2016
202404,1,22042118,11217,FR,PTM,FR,60,1273,338,338
202404,1,22042118,11217,FR,PTM,DE,60,4765,41,41
202404,1,22042118,11217,FR,EUT,DE,60,3959,296,296
202404,1,22042118,11217,NL,DOV,DE,60,7658,1008,1008
202404,1,22042118,11217,DE,NA,DE,0,15352,1670,1670
202404,1,22042118,11217,DE,THP,DE,10,30122,5715,5715
202404,1,22042118,11217,DE,DOV,DE,60,16179,3619,3619
202404,1,22042118,11217,DE,PTM,DE,60,8811,1530,1530
202404,1,22042118,11217,DE,EUT,DE,60,2983,630,630
202404,1,22042118,11217,IE,ZZZ,NA,NA,259,22,16
202404,1,22042118,11217,BE,LON,DE,10,6888,3150,3150
202404,1,22042118,11217,BE,MID,DE,10,8856,4050,4050
202404,1,22042118,11217,BE,IMM,DE,10,9840,4500,4500
202404,1,22042118,11217,BE,IMM,DE,60,10910,3150,3150
202404,1,22042119,11217,FR,LON,DE,10,4841,720,720
202404,1,22042119,11217,FR,DOV,DE,60,1896,360,360
202404,1,22042119,11217,FR,HUL,DE,10,28958,7020,7020
202404,1,22042119,11217,NL,THP,DE,10,1862,946,946
202404,1,22042119,11217,NL,GRG,DE,10,10241,5198,5198
202404,1,22042119,11217,NL,HUL,DE,10,6517,3308,3308
202404,1,22042119,11217,DE,NA,DE,0,14201,2143,2143
202404,1,22042119,11217,DE,ZZZ,NA,NA,3100,614,630
202404,1,22042119,11217,DE,LON,DE,10,14030,6481,6481
202404,1,22042119,11217,DE,THP,DE,10,18514,2840,2840
202404,1,22042119,11217,DE,DOV,DE,60,17742,4703,4703
202404,1,22042119,11217,DE,HUL,DE,10,43956,9180,9180
202404,1,22042119,11217,IE,ZZZ,NA,NA,47,9,9
202404,1,22042119,11217,DK,NA,DE,0,2102,450,450
