perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202502,1,22041011,11215,FR,NA,FR,0,13632055,455628,455611
202502,1,22041011,11215,FR,ZZZ,NA,NA,279698,9024,9154
202502,1,22041011,11215,FR,LON,FR,10,3242987,138731,138729
202502,1,22041011,11215,FR,THP,FR,10,2599,243,106
202502,1,22041011,11215,FR,DOV,FR,60,3850948,186486,186481
202502,1,22041011,11215,FR,DOV,ES,60,38902,1440,1440
202502,1,22041011,11215,FR,LGP,FR,10,6006,144,147
202502,1,22041011,11215,FR,PTM,FR,60,950878,42328,42326
202502,1,22041011,11215,FR,MID,FR,60,30269,1931,1931
202502,1,22041011,11215,FR,HUL,FR,10,695490,35364,35363
202502,1,22041011,11215,FR,GSY,FR,10,44821,3344,1368
202502,1,22041011,11215,FR,JSY,FR,10,39904,1676,1103
202502,1,22041011,11215,FR,DEU,FR,60,57431,3230,3230
202502,1,22041011,11215,FR,EUT,FR,60,1526849,63434,63430
202502,1,22041011,11215,FR,LHR,FR,40,1413,153,63
202502,1,22041011,11215,FR,LSA,FR,40,3319,29,32
202502,1,22041011,11215,NL,NA,FR,0,44436,602,602
202502,1,22041011,11215,NL,ZZZ,NA,NA,322,8,1
202502,1,22041011,11215,NL,LON,FR,10,10285,720,720
202502,1,22041011,11215,NL,THP,FR,10,123779,8640,8640
202502,1,22041011,11215,NL,GRG,FR,10,10285,720,720
202502,1,22041011,11215,NL,MID,FR,10,35998,2520,2520
202502,1,22041011,11215,NL,IMM,FR,10,46403,3241,3240
202502,1,22041011,11215,DE,NA,FR,0,5219,33,33
202502,1,22041011,11215,DE,ZZZ,NA,NA,6983,360,360
202502,1,22041011,11215,DE,LON,DE,10,63706,4140,4140
202502,1,22041011,11215,DE,BHX,FR,40,1479,1,1
202502,1,22041011,11215,IT,NA,FR,0,16543,190,190
202502,1,22041011,11215,IT,LHR,IT,40,2434,90,160
202502,1,22041011,11215,IE,ZZZ,NA,NA,7078,1008,286
202502,1,22041011,11215,DK,NA,FR,0,61799,179,179
202502,1,22041011,11215,ES,NA,FR,0,46707,89,89
202502,1,22041011,11215,ES,ZZZ,NA,NA,832,180,43
202502,1,22041011,11215,BE,NA,FR,0,318078,4263,4263
202502,1,22041011,11215,BE,LON,FR,60,237503,14900,14900
202502,1,22041011,11215,BE,MID,FR,60,70541,4401,4401
202502,1,22041011,11215,BE,HUL,FR,60,5212,315,315
202502,1,22041011,11215,BE,IMM,FR,60,208561,10682,10681
202502,1,22041011,11215,BE,EMA,FR,40,1010,7,4
202502,1,22041011,11215,SE,NA,FR,0,2315,32,32
202502,1,22041011,11215,CZ,NA,FR,0,6525,119,119
202502,1,22041013,11215,FR,ZZZ,NA,NA,1464,185,192
202502,1,22041013,11215,FR,DOV,ES,60,13239,2669,2673
202502,1,22041013,11215,FR,JSY,FR,10,1708,113,113
202502,1,22041013,11215,NL,LON,ES,10,22024,7436,7436
202502,1,22041013,11215,NL,MID,ES,10,6799,2295,2295
202502,1,22041013,11215,NL,IMM,ES,10,10679,3605,3605
202502,1,22041013,11215,DE,AVO,ES,10,5564,2293,2296
202502,1,22041013,11215,IT,LIV,ES,60,38174,9634,9634
202502,1,22041013,11215,IE,ZZZ,NA,NA,59,40,20
202502,1,22041013,11215,ES,NA,ES,0,72367,16798,16798
202502,1,22041013,11215,ES,ZZZ,NA,NA,796,99,99
202502,1,22041013,11215,ES,LON,ES,10,475776,152687,152687
202502,1,22041013,11215,ES,THP,ES,10,316443,114797,114797
202502,1,22041013,11215,ES,DOV,ES,60,45005,12773,12773
202502,1,22041013,11215,ES,LGP,ES,10,202906,64750,64750
202502,1,22041013,11215,ES,NHV,ES,60,11005,2512,2512
202502,1,22041013,11215,ES,PTM,ES,60,1207,420,420
202502,1,22041013,11215,ES,AVO,ES,10,22945,8955,8955
202502,1,22041013,11215,ES,LIV,ES,10,84695,31338,31338
202502,1,22041013,11215,ES,LIV,ES,60,222803,63108,63108
202502,1,22041013,11215,ES,EUT,ES,60,88919,34142,34142
202502,1,22041013,11215,BE,LON,ES,60,23422,8420,8420
202502,1,22041013,11215,BE,MID,ES,60,37271,13389,13389
202502,1,22041013,11215,BE,HUL,ES,60,884,306,306
202502,1,22041013,11215,BE,IMM,ES,60,17192,6044,6044
202502,1,22041015,11215,FR,DOV,IT,60,2275,487,487
202502,1,22041015,11215,FR,PTM,IT,60,3055,720,720
202502,1,22041015,11215,FR,MID,IT,60,6015,1440,1440
202502,1,22041015,11215,FR,GSY,IT,10,6569,0,845
202502,1,22041015,11215,FR,JSY,IT,10,16556,6595,3728
202502,1,22041015,11215,FR,EUT,FR,60,7189,2250,2250
202502,1,22041015,11215,FR,PUF,IT,60,4542,1350,1350
202502,1,22041015,11215,DE,LON,IT,10,583685,165313,165313
202502,1,22041015,11215,DE,GRG,IT,10,68957,18202,18202
202502,1,22041015,11215,DE,MID,IT,10,7776,2178,2178
202502,1,22041015,11215,DE,IMM,IT,10,51527,14478,14478
202502,1,22041015,11215,IT,NA,IT,0,1660484,430948,430948
202502,1,22041015,11215,IT,ZZZ,NA,NA,117684,32341,27379
202502,1,22041015,11215,IT,LON,IT,10,4125088,1189048,1189048
202502,1,22041015,11215,IT,LON,IT,60,604686,149727,149727
202502,1,22041015,11215,IT,THP,IT,10,41444,9624,9624
202502,1,22041015,11215,IT,DOV,FR,60,6634,1728,1728
202502,1,22041015,11215,IT,DOV,IT,60,674944,168868,168868
202502,1,22041015,11215,IT,LGP,IT,10,5901813,1489178,1489178
202502,1,22041015,11215,IT,GRG,IT,10,164354,48450,48450
202502,1,22041015,11215,IT,MID,IT,10,100055,29591,29591
202502,1,22041015,11215,IT,HUL,IT,10,765447,194157,194157
202502,1,22041015,11215,IT,HUL,IT,60,111205,31221,31221
202502,1,22041015,11215,IT,IMM,IT,10,1218627,363880,363880
202502,1,22041015,11215,IT,DEU,IT,60,2749,765,765
202502,1,22041015,11215,IT,EUT,IT,60,202822,50572,50572
202502,1,22041015,11215,IT,KIL,IT,10,70881,15573,15573
202502,1,22041015,11215,IT,KIL,IT,60,889609,192063,192063
202502,1,22041015,11215,IT,PUF,IT,10,21143,4962,4962
202502,1,22041015,11215,IT,PUF,IT,60,10638,2628,2628
202502,1,22041015,11215,IT,LHR,IT,40,4829,1715,1213
202502,1,22041015,11215,IT,BHX,IT,40,1954,331,180
202502,1,22041015,11215,IT,LSA,IT,40,2727,691,691
202502,1,22041015,11215,IE,ZZZ,NA,NA,11947,2344,2278
202502,1,22041015,11215,ES,NA,ES,0,2662,450,450
202502,1,22041015,11215,ES,LON,IT,10,105698,20454,20454
202502,1,22041015,11215,ES,LON,ES,10,26696,6330,6330
202502,1,22041015,11215,ES,LGP,ES,10,16825,4500,4500
202502,1,22041015,11215,BE,LON,IT,60,923610,264087,264087
202502,1,22041015,11215,BE,MID,IT,60,524412,152973,152973
202502,1,22041015,11215,BE,HUL,IT,60,80295,23927,23927
202502,1,22041015,11215,BE,IMM,IT,60,833913,228901,228901
202502,1,22041091,11215,DE,LON,IT,10,57792,18386,18386
202502,1,22041091,11215,DE,GRG,IT,10,5376,1710,1710
202502,1,22041091,11215,DE,IMM,IT,10,12096,3848,3848
202502,1,22041091,11215,IT,ZZZ,NA,NA,8985,2588,2588
202502,1,22041091,11215,IT,LON,IT,10,140298,46045,46045
202502,1,22041091,11215,IT,LGP,IT,10,35115,6368,6368
202502,1,22041091,11215,IT,HUL,IT,10,22502,7054,7054
202502,1,22041091,11215,IT,IMM,IT,10,15934,5445,5445
202502,1,22041091,11215,IT,CVT,IT,40,748335,193950,193950
202502,1,22041091,11215,ES,LON,IT,10,3953,900,900
202502,1,22041091,11215,BE,LON,IT,60,93027,28556,28556
202502,1,22041091,11215,BE,MID,IT,60,40262,12609,12609
202502,1,22041091,11215,BE,HUL,IT,60,8006,2480,2480
202502,1,22041091,11215,BE,IMM,IT,60,65326,20288,20288
202502,1,22041093,11215,FR,NA,FR,0,95367,12446,12446
202502,1,22041093,11215,FR,NA,IT,0,2229,387,387
202502,1,22041093,11215,FR,LON,FR,10,585944,116586,116586
202502,1,22041093,11215,FR,THP,FR,10,145861,30294,30294
202502,1,22041093,11215,FR,DOV,FR,10,2813,396,396
202502,1,22041093,11215,FR,DOV,FR,60,248248,39593,39593
202502,1,22041093,11215,FR,PTM,FR,60,419806,82496,82496
202502,1,22041093,11215,FR,HUL,FR,10,53288,10841,10841
202502,1,22041093,11215,FR,IMM,FR,10,1285,180,180
202502,1,22041093,11215,FR,EUT,FR,60,28425,3346,3346
202502,1,22041093,11215,IT,NA,IT,0,107664,18683,18683
202502,1,22041093,11215,IT,ZZZ,NA,NA,16024,3071,2941
202502,1,22041093,11215,IT,LON,IT,10,86147,24444,24444
202502,1,22041093,11215,IT,LON,IT,60,12132,900,900
202502,1,22041093,11215,IT,DOV,IT,60,35111,3436,3436
202502,1,22041093,11215,IT,GRG,IT,10,6083,1656,1656
202502,1,22041093,11215,IT,EUT,IT,60,4253,297,297
202502,1,22041093,11215,IT,EMA,IT,40,3341,630,630
202502,1,22041093,11215,IE,ZZZ,NA,NA,605,110,99
202502,1,22041093,11215,ES,NA,ES,0,4434,828,828
202502,1,22041093,11215,ES,LON,ES,10,2332,495,495
202502,1,22041093,11215,ES,DOV,FR,60,1744,180,180
202502,1,22041093,11215,ES,LIV,ES,60,27495,9936,9936
202502,1,22041093,11215,BE,LON,FR,10,502764,105435,105435
202502,1,22041093,11215,BE,LON,FR,60,92190,22344,22344
202502,1,22041093,11215,BE,MID,FR,60,29419,7173,7173
202502,1,22041093,11215,BE,HUL,FR,60,3302,855,855
202502,1,22041093,11215,BE,IMM,FR,10,126394,32494,30613
202502,1,22041093,11215,BE,IMM,FR,60,92007,20637,20637
202502,1,22041093,11215,AT,NA,AT,0,2975,181,181
202502,1,22041093,11215,SK,NA,SK,0,3748,491,491
202502,1,22041093,11215,HU,HRH,HU,60,2282,315,315
202502,1,22041094,11215,FR,ZZZ,NA,NA,335,41,54
202502,1,22041094,11215,DE,EUT,DE,60,3862,599,599
202502,1,22041094,11215,IT,LON,IT,10,12774,2848,2848
202502,1,22041094,11215,IT,DOV,IT,60,15260,3308,3308
202502,1,22041094,11215,IT,KIL,IT,10,23065,3494,3494
202502,1,22041094,11215,IT,PUF,IT,60,2173,756,756
202502,1,22041094,11215,IT,EMA,IT,40,1059,171,171
202502,1,22041094,11215,ES,DOV,ES,60,2065,378,378
202502,1,22041094,11215,HU,LON,HU,10,1662,630,630
202502,1,22041096,11215,FR,NA,FR,0,1621,117,117
202502,1,22041096,11215,FR,LON,FR,10,1872,360,360
202502,1,22041096,11215,FR,DOV,FR,60,24402,3240,3240
202502,1,22041096,11215,FR,PTM,FR,60,1834,167,167
202502,1,22041096,11215,FR,MID,FR,10,4287,720,720
202502,1,22041096,11215,FR,GSY,IT,10,3088,0,422
202502,1,22041096,11215,NL,LON,CL,10,4020,1080,1080
202502,1,22041096,11215,NL,THP,CL,10,20100,5400,5400
202502,1,22041096,11215,NL,GRG,CL,10,5327,1431,1431
202502,1,22041096,11215,NL,MID,CL,10,4020,1080,1080
202502,1,22041096,11215,NL,IMM,CL,10,12027,3231,3231
202502,1,22041096,11215,DE,LON,IT,10,58461,28080,28080
202502,1,22041096,11215,DE,GRG,IT,10,6006,2880,2880
202502,1,22041096,11215,DE,MID,IT,10,1507,720,720
202502,1,22041096,11215,DE,IMM,IT,10,8971,4320,4320
202502,1,22041096,11215,IT,LON,IT,10,4644,450,450
202502,1,22041096,11215,IT,DOV,IT,60,38053,4406,4406
202502,1,22041096,11215,IT,LGP,IT,10,26419,11700,11700
202502,1,22041096,11215,IT,EUT,IT,60,2018,288,288
202502,1,22041096,11215,ES,NA,ES,0,16047,1989,1989
202502,1,22041098,11215,FR,NA,FR,0,99149,26034,26034
202502,1,22041098,11215,FR,NA,AR,0,15093,3048,3048
202502,1,22041098,11215,FR,NA,NZ,0,44132,4635,4635
202502,1,22041098,11215,FR,ZZZ,NA,NA,600,172,144
202502,1,22041098,11215,FR,LON,FR,10,5351,1863,1863
202502,1,22041098,11215,FR,DOV,FR,60,28713,7734,7440
202502,1,22041098,11215,FR,PTM,FR,60,14447,3492,3492
202502,1,22041098,11215,FR,IMM,FR,10,7784,3236,3236
202502,1,22041098,11215,FR,IMM,CL,10,1828,360,360
202502,1,22041098,11215,FR,EUT,FR,60,13177,4104,4104
202502,1,22041098,11215,DE,NA,DE,0,1187,518,518
202502,1,22041098,11215,DE,ZZZ,NA,NA,893,952,952
202502,1,22041098,11215,DE,LON,DE,10,1048,378,378
202502,1,22041098,11215,DE,LON,ES,10,5941,4050,4050
202502,1,22041098,11215,IT,NA,IT,0,117493,40092,40092
202502,1,22041098,11215,IT,LON,IT,10,157138,64580,64580
202502,1,22041098,11215,IT,LON,IT,60,74682,21868,21868
202502,1,22041098,11215,IT,DOV,IT,60,69377,16314,16314
202502,1,22041098,11215,IT,LGP,IT,10,790307,150607,150607
202502,1,22041098,11215,IT,GRG,IT,10,4645,2295,2295
202502,1,22041098,11215,IT,MID,IT,10,5230,1620,1620
202502,1,22041098,11215,IT,HUL,IT,60,14843,6912,6912
202502,1,22041098,11215,IT,IMM,IT,10,40199,18361,18361
202502,1,22041098,11215,IT,DEU,IT,60,3996,630,630
202502,1,22041098,11215,IT,EUT,IT,60,27060,4993,4993
202502,1,22041098,11215,IT,KIL,IT,10,5847,1215,1215
202502,1,22041098,11215,IT,PUF,IT,10,2918,720,720
202502,1,22041098,11215,IE,ZZZ,NA,NA,2586,854,703
202502,1,22041098,11215,GR,EUT,GR,60,974,90,90
202502,1,22041098,11215,PT,LON,PT,10,1356,176,176
202502,1,22041098,11215,ES,NA,ES,0,3617,563,563
202502,1,22041098,11215,ES,ZZZ,NA,NA,6724,4980,4450
202502,1,22041098,11215,ES,LON,IT,10,48121,16248,16248
202502,1,22041098,11215,ES,LON,ES,10,155824,30227,30227
202502,1,22041098,11215,ES,DOV,ES,60,72409,16480,16480
202502,1,22041098,11215,ES,LGP,ES,10,59813,12150,12150
202502,1,22041098,11215,ES,NHV,ES,60,44551,7650,7650
202502,1,22041098,11215,ES,LIV,ES,10,4624,1786,1786
202502,1,22041098,11215,ES,LIV,ES,60,63193,9835,9835
202502,1,22041098,11215,ES,GRK,ES,10,5205,2250,2250
202502,1,22041098,11215,BE,LON,IT,60,112876,45756,45756
202502,1,22041098,11215,BE,MID,IT,60,33680,13626,13626
202502,1,22041098,11215,BE,IMM,IT,60,39594,15894,15894
202502,1,22041098,11215,AT,NA,AT,0,3332,279,279
202502,1,22041098,11215,LT,LON,LT,10,6493,2520,2520
202502,1,22041098,11215,CZ,LGP,FR,10,995,0,20
202502,1,22041098,11215,BG,DOV,BG,60,875,135,135
202502,1,22042106,11217,FR,JSY,FR,10,5231,144,144
202502,1,22042106,11217,DE,LON,IT,10,63479,25229,25229
202502,1,22042106,11217,DE,GRG,IT,10,21154,8124,8124
202502,1,22042106,11217,DE,MID,IT,10,2227,855,855
202502,1,22042106,11217,DE,IMM,IT,10,7721,2994,2994
202502,1,22042106,11217,IT,NA,IT,0,28601,8342,8342
202502,1,22042106,11217,IT,ZZZ,NA,NA,1964,518,518
202502,1,22042106,11217,IT,LON,IT,10,72000,13608,13608
202502,1,22042106,11217,IT,LON,IT,60,6480,240,240
202502,1,22042106,11217,IT,THP,IT,10,9438,2993,2993
202502,1,22042106,11217,IT,DOV,IT,10,2677,855,855
202502,1,22042106,11217,IT,DOV,IT,60,20262,4680,4680
202502,1,22042106,11217,IT,LGP,IT,10,172993,66376,66376
202502,1,22042106,11217,IT,EUT,IT,60,6666,2250,2250
202502,1,22042106,11217,IE,ZZZ,NA,NA,1755,656,350
202502,1,22042106,11217,ES,NA,ES,0,19521,3195,3195
202502,1,22042106,11217,BE,LON,IT,60,41294,15400,15400
202502,1,22042106,11217,BE,MID,IT,60,22401,8126,8126
202502,1,22042106,11217,BE,HUL,IT,60,5949,2139,2139
202502,1,22042106,11217,BE,IMM,IT,60,32251,11549,11549
202502,1,22042106,11217,BE,PUF,IT,60,3667,756,756
202502,1,22042107,11217,FR,NA,IT,0,1734,225,225
202502,1,22042107,11217,IT,NA,IT,0,8487,2259,2259
202502,1,22042107,11217,IT,LON,IT,10,3524,450,450
202502,1,22042107,11217,IT,DOV,IT,60,5348,721,721
202502,1,22042107,11217,IT,KIL,IT,60,3742,856,856
202502,1,22042107,11217,IE,ZZZ,NA,NA,476,140,140
202502,1,22042107,11217,BE,PUF,IT,60,1355,378,378
202502,1,22042108,11217,FR,EUT,AT,60,4730,855,855
202502,1,22042108,11217,IT,NA,IT,0,1651,162,162
202502,1,22042108,11217,IT,DOV,IT,60,1830,270,270
202502,1,22042108,11217,IT,DEU,IT,60,3254,473,473
202502,1,22042108,11217,IE,ZZZ,NA,NA,88454,20544,20945
202502,1,22042108,11217,GR,EUT,GR,60,3651,360,360
202502,1,22042108,11217,PT,NA,PT,0,32532,10129,10129
202502,1,22042109,11217,FR,DOV,FR,60,29665,450,450
202502,1,22042109,11217,FR,PTM,FR,60,15787,4950,4950
202502,1,22042109,11217,FR,MID,FR,60,2868,90,90
202502,1,22042109,11217,IT,NA,IT,0,8311,1549,1549
202502,1,22042109,11217,IT,LON,IT,10,20288,5011,5011
202502,1,22042109,11217,IT,HUL,IT,60,9361,3762,3762
202502,1,22042109,11217,IT,EUT,IT,60,5825,2295,2295
202502,1,22042109,11217,PT,LON,PT,10,2394,1080,1080
202502,1,22042109,11217,ES,LON,ES,10,1602,338,338
202502,1,22042109,11217,AT,THP,AT,10,3977,450,450
202502,1,22042111,11217,FR,NA,FR,0,57167,4676,4676
202502,1,22042111,11217,FR,ZZZ,NA,NA,21118,1179,1182
202502,1,22042111,11217,FR,LON,FR,10,42294,8352,8352
202502,1,22042111,11217,FR,DOV,FR,60,149756,21757,21541
202502,1,22042111,11217,FR,PTM,FR,60,19993,4415,4415
202502,1,22042111,11217,FR,HUL,FR,10,33282,8100,8100
202502,1,22042111,11217,FR,EUT,FR,60,11296,1908,1908
202502,1,22042111,11217,IE,ZZZ,NA,NA,200,45,45
202502,1,22042111,11217,BE,IMM,FR,60,7116,1620,1620
202502,1,22042112,11217,FR,NA,FR,0,146386,4735,4735
202502,1,22042112,11217,FR,NA,HU,0,1429,90,90
202502,1,22042112,11217,FR,ZZZ,NA,NA,882,130,105
202502,1,22042112,11217,FR,LON,FR,10,118754,27832,27832
202502,1,22042112,11217,FR,THP,FR,10,1472,504,504
202502,1,22042112,11217,FR,DOV,FR,60,152365,21652,21652
202502,1,22042112,11217,FR,PTM,FR,60,280890,47963,47963
202502,1,22042112,11217,FR,HUL,FR,10,28015,7144,7144
202502,1,22042112,11217,FR,IMM,FR,10,6594,2025,2025
202502,1,22042112,11217,FR,DEU,FR,60,993,225,225
202502,1,22042112,11217,FR,EUT,FR,60,14325,2547,2547
202502,1,22042112,11217,DE,NA,FR,0,2826,59,59
202502,1,22042112,11217,IE,ZZZ,NA,NA,33,6,5
202502,1,22042112,11217,BE,NA,FR,0,84974,21,21
202502,1,22042112,11217,BE,IMM,FR,60,3122,1350,1350
202502,1,22042113,11217,FR,NA,FR,0,2812136,85940,85940
202502,1,22042113,11217,FR,ZZZ,NA,NA,135346,9818,9858
202502,1,22042113,11217,FR,LON,FR,10,1109652,136619,136619
202502,1,22042113,11217,FR,THP,FR,10,235267,34425,34425
202502,1,22042113,11217,FR,MED,FR,10,11397,945,945
202502,1,22042113,11217,FR,DOV,FR,60,889656,85068,85068
202502,1,22042113,11217,FR,PTM,FR,60,1279805,41590,41590
202502,1,22042113,11217,FR,MID,FR,60,27913,711,711
202502,1,22042113,11217,FR,HUL,FR,10,162263,21468,21468
202502,1,22042113,11217,FR,IMM,FR,10,97920,12420,12420
202502,1,22042113,11217,FR,JSY,FR,10,7595,1366,820
202502,1,22042113,11217,FR,DEU,FR,60,26867,3078,3078
202502,1,22042113,11217,FR,EUT,FR,60,421446,30261,30261
202502,1,22042113,11217,FR,LSA,FR,40,1188,0,2
202502,1,22042113,11217,DE,NA,FR,0,108487,246,246
202502,1,22042113,11217,DE,NA,DE,0,1836,28,28
202502,1,22042113,11217,IE,NA,FR,0,12200,18,18
202502,1,22042113,11217,IE,ZZZ,NA,NA,1218,80,80
202502,1,22042113,11217,IE,HLD,FR,60,2439,36,36
202502,1,22042113,11217,DK,NA,FR,0,14890,110,110
202502,1,22042113,11217,GR,NA,FR,0,1710,5,5
202502,1,22042113,11217,BE,NA,FR,0,245523,562,562
202502,1,22042113,11217,BE,LON,FR,10,57178,5714,5714
202502,1,22042113,11217,BE,LON,FR,60,233456,28063,28063
202502,1,22042113,11217,BE,MID,FR,10,4652,473,473
202502,1,22042113,11217,BE,MID,FR,60,21489,2363,2363
202502,1,22042113,11217,BE,HUL,FR,60,47276,5199,5199
202502,1,22042113,11217,BE,IMM,FR,10,9520,945,945
202502,1,22042113,11217,BE,IMM,FR,60,155017,20927,20927
202502,1,22042113,11217,SE,NA,FR,0,1373,27,27
202502,1,22042113,11217,EE,NA,FR,0,6074,16,16
202502,1,22042113,11217,CZ,NA,FR,0,30371,87,87
202502,1,22042117,11217,FR,NA,FR,0,430471,47256,47256
202502,1,22042117,11217,FR,ZZZ,NA,NA,40417,3818,3891
202502,1,22042117,11217,FR,LON,FR,10,483933,95629,95629
202502,1,22042117,11217,FR,DOV,FR,60,521060,62673,62673
202502,1,22042117,11217,FR,PTM,FR,60,244983,41982,41982
202502,1,22042117,11217,FR,MID,FR,60,3488,621,621
202502,1,22042117,11217,FR,HUL,FR,10,155583,22731,22731
202502,1,22042117,11217,FR,IMM,FR,10,41910,10486,10486
202502,1,22042117,11217,FR,JSY,FR,10,4217,630,378
202502,1,22042117,11217,FR,DEU,FR,60,8933,900,900
202502,1,22042117,11217,FR,EUT,FR,60,113587,9182,9182
202502,1,22042117,11217,DE,NA,FR,0,3672,41,41
202502,1,22042117,11217,IE,NA,FR,0,5501,25,25
202502,1,22042117,11217,IE,ZZZ,NA,NA,419,41,41
202502,1,22042117,11217,BE,LON,FR,60,19668,6620,6620
202502,1,22042117,11217,BE,MID,FR,60,16583,5202,5202
202502,1,22042117,11217,BE,IMM,FR,60,39032,9512,9512
202502,1,22042117,11217,AT,LON,FR,10,1819,540,540
202502,1,22042118,11217,FR,NA,DE,0,6089,126,126
202502,1,22042118,11217,FR,LON,DE,10,1463,518,518
202502,1,22042118,11217,FR,DOV,DE,60,1017,329,329
202502,1,22042118,11217,FR,PTM,FR,60,6986,180,180
202502,1,22042118,11217,DE,NA,DE,0,167281,5874,5874
202502,1,22042118,11217,DE,ZZZ,NA,NA,4771,840,450
202502,1,22042118,11217,DE,LON,DE,10,40486,10629,10629
202502,1,22042118,11217,DE,THP,DE,10,60949,19440,19440
202502,1,22042118,11217,DE,PTM,DE,60,38531,3714,3714
202502,1,22042118,11217,DE,EUT,DE,60,1075,180,180
202502,1,22042118,11217,IE,ZZZ,NA,NA,25,7,5
202502,1,22042118,11217,BE,NA,DE,0,1784,14,14
202502,1,22042118,11217,BE,LON,DE,10,9267,4500,4500
202502,1,22042118,11217,BE,IMM,DE,10,2799,1350,1350
202502,1,22042118,11217,BE,IMM,DE,60,10905,3150,3150
202502,1,22042118,11217,RO,LON,RO,10,4655,2520,2520
202502,1,22042119,11217,FR,DOV,DE,60,2532,833,833
202502,1,22042119,11217,NL,LON,DE,10,3601,1891,1891
202502,1,22042119,11217,NL,THP,DE,10,7203,3781,3781
202502,1,22042119,11217,NL,MID,DE,10,1800,946,946
202502,1,22042119,11217,NL,HUL,DE,10,2701,1418,1418
202502,1,22042119,11217,NL,IMM,DE,10,900,473,473
202502,1,22042119,11217,DE,NA,DE,0,12290,1962,1962
202502,1,22042119,11217,DE,ZZZ,NA,NA,1709,495,315
202502,1,22042119,11217,DE,LON,DE,10,54589,23725,23725
202502,1,22042119,11217,DE,THP,DE,10,23758,9045,9045
202502,1,22042119,11217,DE,DOV,DE,10,8018,2520,2520
202502,1,22042119,11217,DE,DOV,DE,60,5774,2160,2160
202502,1,22042119,11217,DE,PTM,DE,60,5980,1553,1553
202502,1,22042119,11217,DE,HUL,DE,10,57431,12690,12690
202502,1,22042119,11217,IE,ZZZ,NA,NA,66,14,14
202502,1,22042119,11217,BE,LON,DE,10,1815,450,450
202502,1,22042119,11217,BE,IMM,DE,10,5446,1350,1350
202502,1,22042122,11217,FR,EUT,DE,60,911,162,162
202502,1,22042122,11217,DE,NA,DE,0,48272,3383,3383
202502,1,22042122,11217,DE,ZZZ,NA,NA,5581,2803,2317
202502,1,22042122,11217,DE,LON,DE,10,73760,32306,32306
202502,1,22042122,11217,DE,THP,DE,10,119532,77511,77511
202502,1,22042122,11217,DE,DOV,DE,60,17859,10263,10263
202502,1,22042122,11217,DE,TYN,DE,10,3651,1620,1620
202502,1,22042122,11217,DE,HUL,DE,10,1073,540,540
202502,1,22042122,11217,BE,LON,DE,10,23978,13590,13590
202502,1,22042122,11217,BE,LON,DE,60,67980,38931,38931
202502,1,22042122,11217,BE,MID,DE,10,14092,7812,7812
202502,1,22042122,11217,BE,MID,DE,60,28780,16533,16533
202502,1,22042122,11217,BE,HUL,DE,60,8006,4731,4731
202502,1,22042122,11217,BE,IMM,DE,10,10298,5562,5562
202502,1,22042122,11217,BE,IMM,DE,60,36307,20712,20712
202502,1,22042123,11217,FR,NA,HU,0,3427,228,228
202502,1,22042123,11217,FR,LON,FR,10,7856,384,384
202502,1,22042123,11217,IE,ZZZ,NA,NA,935,54,54
202502,1,22042123,11217,HU,NA,HU,0,54874,1560,1560
202502,1,22042123,11217,HU,ZZZ,NA,NA,5619,1024,1050
202502,1,22042123,11217,HU,LON,HU,10,13881,1869,1869
202502,1,22042123,11217,HU,DOV,HU,60,7115,850,850
202502,1,22042123,11217,HU,HRH,HU,60,5130,510,510
202502,1,22042124,11217,IT,DOV,IT,60,9967,4420,4420
202502,1,22042124,11217,IT,LGP,IT,10,1374,540,540
202502,1,22042124,11217,BE,LON,IT,60,14518,7560,7560
202502,1,22042124,11217,BE,MID,IT,60,3629,1890,1890
202502,1,22042124,11217,BE,IMM,IT,60,2420,1260,1260
202502,1,22042126,11217,IT,NA,IT,0,13735,1635,1635
202502,1,22042126,11217,IT,LON,IT,10,11647,2804,2804
202502,1,22042126,11217,IT,DOV,IT,60,6043,873,873
202502,1,22042126,11217,IT,GRG,IT,10,4180,1080,1080
202502,1,22042126,11217,IT,EUT,IT,60,4498,720,720
202502,1,22042126,11217,BE,NA,IT,0,3175,44,44
202502,1,22042127,11217,FR,JSY,IT,10,1810,1176,630
202502,1,22042127,11217,IT,NA,IT,0,137491,36155,36155
202502,1,22042127,11217,IT,ZZZ,NA,NA,4765,1733,1777
202502,1,22042127,11217,IT,LON,IT,10,673226,276582,276582
202502,1,22042127,11217,IT,DOV,IT,60,216343,95701,95701
202502,1,22042127,11217,IT,LGP,IT,10,390810,157667,157667
202502,1,22042127,11217,IT,GRG,IT,10,2601,698,698
202502,1,22042127,11217,IT,HUL,IT,10,63910,26024,26024
202502,1,22042127,11217,IT,IMM,IT,10,137430,63416,63416
202502,1,22042127,11217,IT,EUT,IT,60,25610,6413,6413
202502,1,22042127,11217,IT,KIL,IT,10,8073,1374,1374
202502,1,22042127,11217,IT,KIL,IT,60,1897,428,428
202502,1,22042127,11217,IT,PUF,IT,10,5315,1387,1387
202502,1,22042127,11217,IT,PUF,IT,60,3076,855,855
202502,1,22042127,11217,IE,ZZZ,NA,NA,91,18,18
202502,1,22042127,11217,BE,LON,IT,60,29939,10800,10800
202502,1,22042127,11217,BE,MID,IT,60,8981,3240,3240
202502,1,22042127,11217,BE,IMM,IT,60,10479,3780,3780
